timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2024-03-14,420.24,427.82,417.99,425.22,425.22,33955263,0.0000,1.0
2024-03-13,418.1,418.18,411.45,415.1,415.1,16990048,0.0000,1.0
2024-03-12,407.62,415.57,406.79,415.28,415.28,21563656,0.0000,1.0
2024-03-11,403.76,405.68,401.26,404.52,404.52,15998511,0.0000,1.0
2024-03-08,407.96,410.42,404.33,406.22,406.22,18002186,0.0000,1.0
2024-03-07,406.12,409.78,402.24,409.14,409.14,18718479,0.0000,1.0
2024-03-06,402.97,405.16,398.39,402.09,402.09,22344149,0.0000,1.0
2024-03-05,413.96,414.25,400.64,402.65,402.65,26919177,0.0000,1.0
2024-03-04,413.44,417.35,412.32,414.92,414.92,17595956,0.0000,1.0
2024-03-01,411.27,415.87,410.88,415.5,415.5,17823445,0.0000,1.0
2024-02-29,408.64,414.2,405.92,413.64,413.64,31947263,0.0000,1.0
2024-02-28,408.175,409.3,405.3201,407.72,407.72,13183125,0.0000,1.0
2024-02-27,407.99,408.32,403.85,407.48,407.48,14835827,0.0000,1.0
2024-02-26,411.455,412.16,407.36,407.54,407.54,16193505,0.0000,1.0
2024-02-23,415.67,415.86,408.97,410.34,410.34,16295879,0.0000,1.0
2024-02-22,410.19,412.83,408.57,411.65,411.65,27009869,0.0000,1.0
2024-02-21,400.17,402.29,397.22,402.18,402.18,18631072,0.0000,1.0
2024-02-20,403.24,404.49,398.01,402.79,402.79,24307915,0.0000,1.0
2024-02-16,407.96,408.29,403.44,404.06,404.06,22296495,0.0000,1.0
2024-02-15,408.14,409.13,404.29,406.56,406.56,21825525,0.0000,1.0
2024-02-14,408.07,409.84,404.57,409.49,409.49,20401190,0.7500,1.0
2024-02-13,404.94,410.071,403.39,406.32,405.577166536661,27824936,0.0000,1.0
2024-02-12,420.555,420.74,414.75,415.26,414.500822445398,21202921,0.0000,1.0
2024-02-09,415.25,420.82,415.09,420.55,419.781151277301,22032844,0.0000,1.0
2024-02-08,414.05,415.56,412.53,414.11,413.352924873245,21225257,0.0000,1.0
2024-02-07,407.44,414.3,407.4,414.05,413.293034565133,22340526,0.0000,1.0
2024-02-06,405.88,407.97,402.91,405.49,404.748683941108,18382624,0.0000,1.0
2024-02-05,409.9,411.16,403.99,405.65,404.908391429407,25352286,0.0000,1.0
2024-02-02,403.81,412.65,403.56,411.22,410.468208365835,28256670,0.0000,1.0
2024-02-01,401.83,408.0,401.8,403.78,403.041810159906,30657726,0.0000,1.0
2024-01-31,406.96,415.32,397.21,397.58,396.8531449883,47871097,0.0000,1.0
2024-01-30,412.26,413.05,406.4501,408.59,407.843016526911,33477610,0.0000,1.0
2024-01-29,406.06,409.98,404.33,409.72,408.970950663027,24510236,0.0000,1.0
2024-01-26,404.37,406.17,402.43,403.93,403.191535930187,17803271,0.0000,1.0
2024-01-25,404.32,407.01,402.5294,404.87,404.129817423947,21021155,0.0000,1.0
2024-01-24,401.54,405.63,400.45,402.56,401.824040561622,23281889,0.0000,1.0
2024-01-23,395.75,399.38,393.93,398.9,398.170731766771,20525882,0.0000,1.0
2024-01-22,400.02,400.62,393.59,396.51,395.785101160296,27016902,0.0000,1.0
2024-01-19,395.76,398.67,393.5,398.67,397.94115225234,29331136,0.0000,1.0
2024-01-18,391.72,393.99,390.12,393.87,393.149927603354,23392068,0.0000,1.0
2024-01-17,387.98,390.11,384.81,389.47,388.757971675117,22234108,0.0000,1.0
2024-01-16,393.66,394.03,387.6229,390.27,389.556509116615,27202268,0.0000,1.0
2024-01-12,385.49,388.68,384.65,388.47,387.759799873245,21661153,0.0000,1.0
2024-01-11,386.0,390.68,380.38,384.63,383.926820154056,27850846,0.0000,1.0
2024-01-10,376.37,384.17,376.32,382.77,382.070220602574,25514245,0.0000,1.0
2024-01-09,372.01,375.99,371.19,375.79,375.102981425507,20829953,0.0000,1.0
2024-01-08,369.3,375.2,369.01,374.69,374.004992443448,23133967,0.0000,1.0
2024-01-05,368.97,372.06,366.5,367.75,367.077680138456,20074451,0.0000,1.0
2024-01-04,370.665,373.1,367.17,367.94,367.267332780811,20901502,0.0000,1.0
2024-01-03,369.01,373.2562,368.51,370.6,369.922469773791,23083465,0.0000,1.0
2024-01-02,373.86,375.9,366.771,370.87,370.191976160296,25258633,0.0000,1.0
2023-12-29,376.0,377.16,373.48,376.04,375.352524375975,18730838,0.0000,1.0
2023-12-28,375.37,376.458,374.16,375.28,374.593913806552,14327013,0.0000,1.0
2023-12-27,373.69,375.06,372.8116,374.07,373.386125926287,14872756,0.0000,1.0
2023-12-26,375.0,376.94,373.5,374.66,373.975047289392,12673050,0.0000,1.0
2023-12-22,373.68,375.18,372.71,374.58,373.895193545242,17107484,0.0000,1.0
2023-12-21,372.56,374.41,370.04,373.54,372.857094871295,17708006,0.0000,1.0
2023-12-20,375.0,376.03,370.53,370.62,369.942433209828,26316650,0.0000,1.0
2023-12-19,371.49,373.26,369.84,373.26,372.577606766771,20533284,0.0000,1.0
2023-12-18,369.45,373.0,368.68,372.65,371.968721967629,21802878,0.0000,1.0
2023-12-15,366.85,372.4,366.28,370.73,370.052232108034,78502324,0.0000,1.0
2023-12-14,373.31,373.76,364.13,365.93,365.261007459048,43277461,0.0000,1.0
2023-12-13,376.02,377.6361,370.77,374.37,373.685577466849,30955531,0.0000,1.0
2023-12-12,370.85,374.42,370.46,374.38,373.695559184867,24838253,0.0000,1.0
